img_000024.png = [tensor([0.1000], grad_fn=<SelectBackward0>), tensor([0.9965], grad_fn=<SigmoidBackward0>)]
img_000139.png = [tensor([-0.0225], grad_fn=<SelectBackward0>), tensor([0.4948], grad_fn=<SigmoidBackward0>)]
img_000193.png = [tensor([-0.2160], grad_fn=<SelectBackward0>), tensor([0.2149], grad_fn=<SigmoidBackward0>)]
img_000007.png = [tensor([-0.1770], grad_fn=<SelectBackward0>), tensor([0.0174], grad_fn=<SigmoidBackward0>)]
img_000101.png = [tensor([-0.0099], grad_fn=<SelectBackward0>), tensor([0.0102], grad_fn=<SigmoidBackward0>)]
img_000125.png = [tensor([-0.2154], grad_fn=<SelectBackward0>), tensor([0.6705], grad_fn=<SigmoidBackward0>)]
img_000023.png = [tensor([0.0404], grad_fn=<SelectBackward0>), tensor([0.9863], grad_fn=<SigmoidBackward0>)]
img_000040.png = [tensor([-0.1644], grad_fn=<SelectBackward0>), tensor([0.9293], grad_fn=<SigmoidBackward0>)]
img_000082.png = [tensor([0.0402], grad_fn=<SelectBackward0>), tensor([0.0780], grad_fn=<SigmoidBackward0>)]
img_000130.png = [tensor([-0.0054], grad_fn=<SelectBackward0>), tensor([0.9234], grad_fn=<SigmoidBackward0>)]
img_000179.png = [tensor([0.1223], grad_fn=<SelectBackward0>), tensor([0.7521], grad_fn=<SigmoidBackward0>)]
img_000214.png = [tensor([0.1639], grad_fn=<SelectBackward0>), tensor([0.0039], grad_fn=<SigmoidBackward0>)]
img_000189.png = [tensor([0.1116], grad_fn=<SelectBackward0>), tensor([0.4534], grad_fn=<SigmoidBackward0>)]
img_000184.png = [tensor([-0.0366], grad_fn=<SelectBackward0>), tensor([0.0525], grad_fn=<SigmoidBackward0>)]
img_000072.png = [tensor([0.2215], grad_fn=<SelectBackward0>), tensor([0.0534], grad_fn=<SigmoidBackward0>)]
img_000071.png = [tensor([0.1452], grad_fn=<SelectBackward0>), tensor([0.1318], grad_fn=<SigmoidBackward0>)]
img_000141.png = [tensor([-0.2228], grad_fn=<SelectBackward0>), tensor([0.9903], grad_fn=<SigmoidBackward0>)]
img_000147.png = [tensor([-0.3258], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000015.png = [tensor([-0.5417], grad_fn=<SelectBackward0>), tensor([0.0007], grad_fn=<SigmoidBackward0>)]
img_000201.png = [tensor([0.2162], grad_fn=<SelectBackward0>), tensor([3.8699e-06], grad_fn=<SigmoidBackward0>)]
img_000188.png = [tensor([-0.5057], grad_fn=<SelectBackward0>), tensor([0.9998], grad_fn=<SigmoidBackward0>)]
img_000176.png = [tensor([1.4734], grad_fn=<SelectBackward0>), tensor([2.9828e-09], grad_fn=<SigmoidBackward0>)]
img_000223.png = [tensor([0.5343], grad_fn=<SelectBackward0>), tensor([9.2351e-07], grad_fn=<SigmoidBackward0>)]
img_000195.png = [tensor([0.8632], grad_fn=<SelectBackward0>), tensor([0.0005], grad_fn=<SigmoidBackward0>)]
img_000030.png = [tensor([-0.0643], grad_fn=<SelectBackward0>), tensor([0.9954], grad_fn=<SigmoidBackward0>)]
img_000052.png = [tensor([-0.9802], grad_fn=<SelectBackward0>), tensor([0.9280], grad_fn=<SigmoidBackward0>)]
img_000240.png = [tensor([-0.1820], grad_fn=<SelectBackward0>), tensor([0.0081], grad_fn=<SigmoidBackward0>)]
img_000198.png = [tensor([0.4447], grad_fn=<SelectBackward0>), tensor([0.0099], grad_fn=<SigmoidBackward0>)]
img_000065.png = [tensor([-0.2637], grad_fn=<SelectBackward0>), tensor([0.0141], grad_fn=<SigmoidBackward0>)]
img_000032.png = [tensor([-0.3307], grad_fn=<SelectBackward0>), tensor([0.4910], grad_fn=<SigmoidBackward0>)]
img_000152.png = [tensor([-0.1260], grad_fn=<SelectBackward0>), tensor([0.9933], grad_fn=<SigmoidBackward0>)]
img_000154.png = [tensor([-0.1173], grad_fn=<SelectBackward0>), tensor([0.4337], grad_fn=<SigmoidBackward0>)]
img_000010.png = [tensor([-0.1628], grad_fn=<SelectBackward0>), tensor([0.0069], grad_fn=<SigmoidBackward0>)]
img_000033.png = [tensor([-0.3174], grad_fn=<SelectBackward0>), tensor([0.9990], grad_fn=<SigmoidBackward0>)]
img_000107.png = [tensor([-0.0999], grad_fn=<SelectBackward0>), tensor([0.0204], grad_fn=<SigmoidBackward0>)]
img_000090.png = [tensor([0.2217], grad_fn=<SelectBackward0>), tensor([0.5677], grad_fn=<SigmoidBackward0>)]
img_000243.png = [tensor([0.0064], grad_fn=<SelectBackward0>), tensor([0.0001], grad_fn=<SigmoidBackward0>)]
img_000160.png = [tensor([0.0472], grad_fn=<SelectBackward0>), tensor([0.7730], grad_fn=<SigmoidBackward0>)]
img_000055.png = [tensor([-0.6961], grad_fn=<SelectBackward0>), tensor([0.9999], grad_fn=<SigmoidBackward0>)]
img_000155.png = [tensor([-0.4125], grad_fn=<SelectBackward0>), tensor([0.8440], grad_fn=<SigmoidBackward0>)]
img_000113.png = [tensor([-0.1702], grad_fn=<SelectBackward0>), tensor([0.1576], grad_fn=<SigmoidBackward0>)]
img_000099.png = [tensor([-0.0083], grad_fn=<SelectBackward0>), tensor([0.0306], grad_fn=<SigmoidBackward0>)]
img_000046.png = [tensor([-0.1709], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000105.png = [tensor([-0.2567], grad_fn=<SelectBackward0>), tensor([0.3385], grad_fn=<SigmoidBackward0>)]
img_000084.png = [tensor([0.0804], grad_fn=<SelectBackward0>), tensor([0.1250], grad_fn=<SigmoidBackward0>)]
img_000233.png = [tensor([-0.2049], grad_fn=<SelectBackward0>), tensor([0.5366], grad_fn=<SigmoidBackward0>)]
img_000143.png = [tensor([-0.2925], grad_fn=<SelectBackward0>), tensor([0.9997], grad_fn=<SigmoidBackward0>)]
img_000121.png = [tensor([-0.0762], grad_fn=<SelectBackward0>), tensor([0.0320], grad_fn=<SigmoidBackward0>)]
img_000047.png = [tensor([-0.2215], grad_fn=<SelectBackward0>), tensor([0.0579], grad_fn=<SigmoidBackward0>)]
img_000164.png = [tensor([-0.2264], grad_fn=<SelectBackward0>), tensor([0.9994], grad_fn=<SigmoidBackward0>)]
img_000018.png = [tensor([0.1297], grad_fn=<SelectBackward0>), tensor([4.2533e-05], grad_fn=<SigmoidBackward0>)]
img_000068.png = [tensor([-0.9996], grad_fn=<SelectBackward0>), tensor([0.0011], grad_fn=<SigmoidBackward0>)]
img_000079.png = [tensor([-0.0246], grad_fn=<SelectBackward0>), tensor([0.3024], grad_fn=<SigmoidBackward0>)]
img_000226.png = [tensor([0.7781], grad_fn=<SelectBackward0>), tensor([0.0184], grad_fn=<SigmoidBackward0>)]
img_000190.png = [tensor([0.1389], grad_fn=<SelectBackward0>), tensor([4.1153e-06], grad_fn=<SigmoidBackward0>)]
img_000042.png = [tensor([-0.1728], grad_fn=<SelectBackward0>), tensor([0.9767], grad_fn=<SigmoidBackward0>)]
img_000069.png = [tensor([-0.5218], grad_fn=<SelectBackward0>), tensor([0.7510], grad_fn=<SigmoidBackward0>)]
img_000098.png = [tensor([0.0471], grad_fn=<SelectBackward0>), tensor([0.0878], grad_fn=<SigmoidBackward0>)]
img_000108.png = [tensor([0.0720], grad_fn=<SelectBackward0>), tensor([0.0127], grad_fn=<SigmoidBackward0>)]
img_000247.png = [tensor([-0.1488], grad_fn=<SelectBackward0>), tensor([0.0019], grad_fn=<SigmoidBackward0>)]
img_000180.png = [tensor([-0.0633], grad_fn=<SelectBackward0>), tensor([0.1536], grad_fn=<SigmoidBackward0>)]
img_000120.png = [tensor([0.1013], grad_fn=<SelectBackward0>), tensor([0.0024], grad_fn=<SigmoidBackward0>)]
img_000117.png = [tensor([-0.0281], grad_fn=<SelectBackward0>), tensor([0.8191], grad_fn=<SigmoidBackward0>)]
img_000085.png = [tensor([0.3349], grad_fn=<SelectBackward0>), tensor([0.0521], grad_fn=<SigmoidBackward0>)]
img_000016.png = [tensor([-0.0966], grad_fn=<SelectBackward0>), tensor([0.0014], grad_fn=<SigmoidBackward0>)]
img_000027.png = [tensor([-0.1588], grad_fn=<SelectBackward0>), tensor([0.9999], grad_fn=<SigmoidBackward0>)]
img_000244.png = [tensor([-0.0090], grad_fn=<SelectBackward0>), tensor([0.0158], grad_fn=<SigmoidBackward0>)]
img_000021.png = [tensor([0.1282], grad_fn=<SelectBackward0>), tensor([0.0104], grad_fn=<SigmoidBackward0>)]
img_000124.png = [tensor([-0.0761], grad_fn=<SelectBackward0>), tensor([0.6879], grad_fn=<SigmoidBackward0>)]
img_000149.png = [tensor([-0.2616], grad_fn=<SelectBackward0>), tensor([0.9978], grad_fn=<SigmoidBackward0>)]
img_000239.png = [tensor([-0.0858], grad_fn=<SelectBackward0>), tensor([3.7053e-06], grad_fn=<SigmoidBackward0>)]
img_000025.png = [tensor([-0.0700], grad_fn=<SelectBackward0>), tensor([0.9995], grad_fn=<SigmoidBackward0>)]
img_000182.png = [tensor([0.2237], grad_fn=<SelectBackward0>), tensor([0.4213], grad_fn=<SigmoidBackward0>)]
img_000102.png = [tensor([-0.0831], grad_fn=<SelectBackward0>), tensor([0.3268], grad_fn=<SigmoidBackward0>)]
img_000175.png = [tensor([0.5866], grad_fn=<SelectBackward0>), tensor([1.1573e-06], grad_fn=<SigmoidBackward0>)]
img_000167.png = [tensor([-0.0271], grad_fn=<SelectBackward0>), tensor([0.9998], grad_fn=<SigmoidBackward0>)]
img_000060.png = [tensor([-1.0507], grad_fn=<SelectBackward0>), tensor([0.2638], grad_fn=<SigmoidBackward0>)]
img_000206.png = [tensor([-0.1868], grad_fn=<SelectBackward0>), tensor([0.7810], grad_fn=<SigmoidBackward0>)]
img_000100.png = [tensor([-0.2426], grad_fn=<SelectBackward0>), tensor([0.1707], grad_fn=<SigmoidBackward0>)]
img_000119.png = [tensor([0.1379], grad_fn=<SelectBackward0>), tensor([4.9978e-05], grad_fn=<SigmoidBackward0>)]
img_000151.png = [tensor([-0.1869], grad_fn=<SelectBackward0>), tensor([0.9314], grad_fn=<SigmoidBackward0>)]
img_000059.png = [tensor([-1.2483], grad_fn=<SelectBackward0>), tensor([0.7994], grad_fn=<SigmoidBackward0>)]
img_000127.png = [tensor([0.1709], grad_fn=<SelectBackward0>), tensor([0.0586], grad_fn=<SigmoidBackward0>)]
img_000232.png = [tensor([-0.0449], grad_fn=<SelectBackward0>), tensor([0.9291], grad_fn=<SigmoidBackward0>)]
img_000087.png = [tensor([0.0039], grad_fn=<SelectBackward0>), tensor([0.2932], grad_fn=<SigmoidBackward0>)]
img_000104.png = [tensor([-0.3654], grad_fn=<SelectBackward0>), tensor([0.1584], grad_fn=<SigmoidBackward0>)]
img_000044.png = [tensor([1.1122], grad_fn=<SelectBackward0>), tensor([4.0349e-07], grad_fn=<SigmoidBackward0>)]
img_000064.png = [tensor([-0.2220], grad_fn=<SelectBackward0>), tensor([0.0008], grad_fn=<SigmoidBackward0>)]
img_000186.png = [tensor([-0.0623], grad_fn=<SelectBackward0>), tensor([0.8066], grad_fn=<SigmoidBackward0>)]
img_000096.png = [tensor([-0.0237], grad_fn=<SelectBackward0>), tensor([0.0054], grad_fn=<SigmoidBackward0>)]
img_000148.png = [tensor([-0.0640], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000037.png = [tensor([-0.0937], grad_fn=<SelectBackward0>), tensor([0.9971], grad_fn=<SigmoidBackward0>)]
img_000221.png = [tensor([0.6643], grad_fn=<SelectBackward0>), tensor([0.6039], grad_fn=<SigmoidBackward0>)]
img_000074.png = [tensor([0.1684], grad_fn=<SelectBackward0>), tensor([0.6083], grad_fn=<SigmoidBackward0>)]
img_000095.png = [tensor([-0.0063], grad_fn=<SelectBackward0>), tensor([0.0027], grad_fn=<SigmoidBackward0>)]
img_000250.png = [tensor([-0.1271], grad_fn=<SelectBackward0>), tensor([8.5560e-05], grad_fn=<SigmoidBackward0>)]
img_000215.png = [tensor([0.2419], grad_fn=<SelectBackward0>), tensor([0.9816], grad_fn=<SigmoidBackward0>)]
img_000097.png = [tensor([0.1359], grad_fn=<SelectBackward0>), tensor([0.0236], grad_fn=<SigmoidBackward0>)]
img_000057.png = [tensor([-1.1251], grad_fn=<SelectBackward0>), tensor([0.9999], grad_fn=<SigmoidBackward0>)]
img_000081.png = [tensor([-0.0090], grad_fn=<SelectBackward0>), tensor([0.0597], grad_fn=<SigmoidBackward0>)]
img_000045.png = [tensor([0.8223], grad_fn=<SelectBackward0>), tensor([0.0008], grad_fn=<SigmoidBackward0>)]
img_000028.png = [tensor([0.1010], grad_fn=<SelectBackward0>), tensor([0.5392], grad_fn=<SigmoidBackward0>)]
img_000185.png = [tensor([-0.0998], grad_fn=<SelectBackward0>), tensor([0.7551], grad_fn=<SigmoidBackward0>)]
img_000219.png = [tensor([0.3155], grad_fn=<SelectBackward0>), tensor([5.0514e-09], grad_fn=<SigmoidBackward0>)]
img_000170.png = [tensor([0.3858], grad_fn=<SelectBackward0>), tensor([0.0004], grad_fn=<SigmoidBackward0>)]
img_000034.png = [tensor([-0.2837], grad_fn=<SelectBackward0>), tensor([0.9962], grad_fn=<SigmoidBackward0>)]
img_000204.png = [tensor([0.2965], grad_fn=<SelectBackward0>), tensor([0.9581], grad_fn=<SigmoidBackward0>)]
img_000103.png = [tensor([-0.1234], grad_fn=<SelectBackward0>), tensor([0.5067], grad_fn=<SigmoidBackward0>)]
img_000067.png = [tensor([-0.9435], grad_fn=<SelectBackward0>), tensor([0.0182], grad_fn=<SigmoidBackward0>)]
img_000166.png = [tensor([0.0184], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000183.png = [tensor([0.1430], grad_fn=<SelectBackward0>), tensor([0.0515], grad_fn=<SigmoidBackward0>)]
img_000112.png = [tensor([-0.2244], grad_fn=<SelectBackward0>), tensor([0.0063], grad_fn=<SigmoidBackward0>)]
img_000203.png = [tensor([0.1322], grad_fn=<SelectBackward0>), tensor([0.8762], grad_fn=<SigmoidBackward0>)]
img_000076.png = [tensor([0.1379], grad_fn=<SelectBackward0>), tensor([0.3970], grad_fn=<SigmoidBackward0>)]
img_000197.png = [tensor([-0.3524], grad_fn=<SelectBackward0>), tensor([0.1127], grad_fn=<SigmoidBackward0>)]
img_000208.png = [tensor([-0.1358], grad_fn=<SelectBackward0>), tensor([0.9203], grad_fn=<SigmoidBackward0>)]
img_000135.png = [tensor([0.1303], grad_fn=<SelectBackward0>), tensor([0.0243], grad_fn=<SigmoidBackward0>)]
img_000019.png = [tensor([0.0544], grad_fn=<SelectBackward0>), tensor([1.0270e-05], grad_fn=<SigmoidBackward0>)]
img_000156.png = [tensor([-0.0428], grad_fn=<SelectBackward0>), tensor([0.9820], grad_fn=<SigmoidBackward0>)]
img_000122.png = [tensor([-0.3586], grad_fn=<SelectBackward0>), tensor([0.5875], grad_fn=<SigmoidBackward0>)]
img_000210.png = [tensor([0.0785], grad_fn=<SelectBackward0>), tensor([0.9397], grad_fn=<SigmoidBackward0>)]
img_000246.png = [tensor([-0.1378], grad_fn=<SelectBackward0>), tensor([0.0002], grad_fn=<SigmoidBackward0>)]
img_000017.png = [tensor([-0.1531], grad_fn=<SelectBackward0>), tensor([0.0002], grad_fn=<SigmoidBackward0>)]
img_000249.png = [tensor([-0.1422], grad_fn=<SelectBackward0>), tensor([0.0064], grad_fn=<SigmoidBackward0>)]
img_000115.png = [tensor([-0.1228], grad_fn=<SelectBackward0>), tensor([0.0056], grad_fn=<SigmoidBackward0>)]
img_000242.png = [tensor([0.0433], grad_fn=<SelectBackward0>), tensor([0.0003], grad_fn=<SigmoidBackward0>)]
img_000080.png = [tensor([0.0162], grad_fn=<SelectBackward0>), tensor([0.7904], grad_fn=<SigmoidBackward0>)]
img_000131.png = [tensor([0.0272], grad_fn=<SelectBackward0>), tensor([0.9812], grad_fn=<SigmoidBackward0>)]
img_000116.png = [tensor([0.0549], grad_fn=<SelectBackward0>), tensor([0.0130], grad_fn=<SigmoidBackward0>)]
img_000248.png = [tensor([-0.2237], grad_fn=<SelectBackward0>), tensor([0.2777], grad_fn=<SigmoidBackward0>)]
img_000051.png = [tensor([-0.7395], grad_fn=<SelectBackward0>), tensor([0.9849], grad_fn=<SigmoidBackward0>)]
img_000009.png = [tensor([-0.1821], grad_fn=<SelectBackward0>), tensor([0.0868], grad_fn=<SigmoidBackward0>)]
img_000228.png = [tensor([-0.0361], grad_fn=<SelectBackward0>), tensor([0.0002], grad_fn=<SigmoidBackward0>)]
img_000227.png = [tensor([0.2656], grad_fn=<SelectBackward0>), tensor([5.3913e-05], grad_fn=<SigmoidBackward0>)]
img_000153.png = [tensor([-0.1944], grad_fn=<SelectBackward0>), tensor([0.9373], grad_fn=<SigmoidBackward0>)]
img_000083.png = [tensor([0.1423], grad_fn=<SelectBackward0>), tensor([0.3879], grad_fn=<SigmoidBackward0>)]
img_000220.png = [tensor([0.1236], grad_fn=<SelectBackward0>), tensor([0.9720], grad_fn=<SigmoidBackward0>)]
img_000022.png = [tensor([0.1050], grad_fn=<SelectBackward0>), tensor([0.1652], grad_fn=<SigmoidBackward0>)]
img_000111.png = [tensor([-0.0784], grad_fn=<SelectBackward0>), tensor([0.0142], grad_fn=<SigmoidBackward0>)]
img_000234.png = [tensor([-0.1950], grad_fn=<SelectBackward0>), tensor([0.9844], grad_fn=<SigmoidBackward0>)]
img_000093.png = [tensor([0.0348], grad_fn=<SelectBackward0>), tensor([4.6426e-06], grad_fn=<SigmoidBackward0>)]
img_000144.png = [tensor([-0.1845], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000216.png = [tensor([1.3020], grad_fn=<SelectBackward0>), tensor([0.0022], grad_fn=<SigmoidBackward0>)]
img_000094.png = [tensor([-0.0265], grad_fn=<SelectBackward0>), tensor([0.0053], grad_fn=<SigmoidBackward0>)]
img_000118.png = [tensor([0.2305], grad_fn=<SelectBackward0>), tensor([0.0001], grad_fn=<SigmoidBackward0>)]
img_000008.png = [tensor([-0.1875], grad_fn=<SelectBackward0>), tensor([0.0342], grad_fn=<SigmoidBackward0>)]
img_000132.png = [tensor([1.2571], grad_fn=<SelectBackward0>), tensor([0.9759], grad_fn=<SigmoidBackward0>)]
img_000217.png = [tensor([0.7416], grad_fn=<SelectBackward0>), tensor([0.0003], grad_fn=<SigmoidBackward0>)]
img_000031.png = [tensor([-0.3574], grad_fn=<SelectBackward0>), tensor([0.9971], grad_fn=<SigmoidBackward0>)]
img_000003.png = [tensor([-0.1951], grad_fn=<SelectBackward0>), tensor([0.0288], grad_fn=<SigmoidBackward0>)]
img_000129.png = [tensor([-0.0944], grad_fn=<SelectBackward0>), tensor([0.5013], grad_fn=<SigmoidBackward0>)]
img_000196.png = [tensor([0.4801], grad_fn=<SelectBackward0>), tensor([0.9999], grad_fn=<SigmoidBackward0>)]
img_000001.png = [tensor([-0.1902], grad_fn=<SelectBackward0>), tensor([0.0238], grad_fn=<SigmoidBackward0>)]
img_000230.png = [tensor([0.1591], grad_fn=<SelectBackward0>), tensor([0.9987], grad_fn=<SigmoidBackward0>)]
img_000075.png = [tensor([0.1286], grad_fn=<SelectBackward0>), tensor([0.1736], grad_fn=<SigmoidBackward0>)]
img_000011.png = [tensor([-0.1974], grad_fn=<SelectBackward0>), tensor([0.0038], grad_fn=<SigmoidBackward0>)]
img_000114.png = [tensor([-0.2445], grad_fn=<SelectBackward0>), tensor([0.0192], grad_fn=<SigmoidBackward0>)]
img_000209.png = [tensor([-0.2610], grad_fn=<SelectBackward0>), tensor([0.1057], grad_fn=<SigmoidBackward0>)]
img_000194.png = [tensor([0.5759], grad_fn=<SelectBackward0>), tensor([2.9252e-09], grad_fn=<SigmoidBackward0>)]
img_000013.png = [tensor([-0.4689], grad_fn=<SelectBackward0>), tensor([1.5773e-06], grad_fn=<SigmoidBackward0>)]
img_000202.png = [tensor([0.5263], grad_fn=<SelectBackward0>), tensor([0.0012], grad_fn=<SigmoidBackward0>)]
img_000066.png = [tensor([-0.3668], grad_fn=<SelectBackward0>), tensor([0.0019], grad_fn=<SigmoidBackward0>)]
img_000002.png = [tensor([-0.2004], grad_fn=<SelectBackward0>), tensor([0.0262], grad_fn=<SigmoidBackward0>)]
img_000136.png = [tensor([-0.0097], grad_fn=<SelectBackward0>), tensor([0.1323], grad_fn=<SigmoidBackward0>)]
img_000036.png = [tensor([-0.1001], grad_fn=<SelectBackward0>), tensor([0.8547], grad_fn=<SigmoidBackward0>)]
img_000073.png = [tensor([0.1877], grad_fn=<SelectBackward0>), tensor([0.0725], grad_fn=<SigmoidBackward0>)]
img_000191.png = [tensor([0.4520], grad_fn=<SelectBackward0>), tensor([0.0288], grad_fn=<SigmoidBackward0>)]
img_000077.png = [tensor([-0.1333], grad_fn=<SelectBackward0>), tensor([0.0062], grad_fn=<SigmoidBackward0>)]
img_000169.png = [tensor([0.4561], grad_fn=<SelectBackward0>), tensor([0.0127], grad_fn=<SigmoidBackward0>)]
img_000171.png = [tensor([0.0300], grad_fn=<SelectBackward0>), tensor([0.0869], grad_fn=<SigmoidBackward0>)]
img_000237.png = [tensor([-0.4328], grad_fn=<SelectBackward0>), tensor([0.0048], grad_fn=<SigmoidBackward0>)]
