img_000024.png = [tensor([0.5856], grad_fn=<SelectBackward0>), tensor([0.5386], grad_fn=<SigmoidBackward0>)]
img_000145.png = [tensor([0.0390], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000245.png = [tensor([-0.1455], grad_fn=<SelectBackward0>), tensor([0.9990], grad_fn=<SigmoidBackward0>)]
img_000062.png = [tensor([-0.6152], grad_fn=<SelectBackward0>), tensor([0.1201], grad_fn=<SigmoidBackward0>)]
img_000089.png = [tensor([-0.1064], grad_fn=<SelectBackward0>), tensor([0.9848], grad_fn=<SigmoidBackward0>)]
img_000058.png = [tensor([-0.4001], grad_fn=<SelectBackward0>), tensor([0.8022], grad_fn=<SigmoidBackward0>)]
img_000043.png = [tensor([-0.5092], grad_fn=<SelectBackward0>), tensor([0.0370], grad_fn=<SigmoidBackward0>)]
img_000039.png = [tensor([-0.1765], grad_fn=<SelectBackward0>), tensor([0.9989], grad_fn=<SigmoidBackward0>)]
img_000177.png = [tensor([-0.5625], grad_fn=<SelectBackward0>), tensor([0.0014], grad_fn=<SigmoidBackward0>)]
img_000070.png = [tensor([-0.6693], grad_fn=<SelectBackward0>), tensor([0.9745], grad_fn=<SigmoidBackward0>)]
img_000139.png = [tensor([-0.0956], grad_fn=<SelectBackward0>), tensor([0.4132], grad_fn=<SigmoidBackward0>)]
img_000193.png = [tensor([0.2175], grad_fn=<SelectBackward0>), tensor([4.6690e-05], grad_fn=<SigmoidBackward0>)]
img_000007.png = [tensor([-0.1047], grad_fn=<SelectBackward0>), tensor([0.0012], grad_fn=<SigmoidBackward0>)]
img_000101.png = [tensor([0.0447], grad_fn=<SelectBackward0>), tensor([0.9998], grad_fn=<SigmoidBackward0>)]
img_000125.png = [tensor([-0.0334], grad_fn=<SelectBackward0>), tensor([0.7390], grad_fn=<SigmoidBackward0>)]
img_000023.png = [tensor([0.2275], grad_fn=<SelectBackward0>), tensor([0.0017], grad_fn=<SigmoidBackward0>)]
img_000040.png = [tensor([0.1713], grad_fn=<SelectBackward0>), tensor([0.9482], grad_fn=<SigmoidBackward0>)]
img_000082.png = [tensor([-0.2351], grad_fn=<SelectBackward0>), tensor([0.9942], grad_fn=<SigmoidBackward0>)]
img_000130.png = [tensor([0.0470], grad_fn=<SelectBackward0>), tensor([0.0001], grad_fn=<SigmoidBackward0>)]
img_000179.png = [tensor([-0.0408], grad_fn=<SelectBackward0>), tensor([0.0009], grad_fn=<SigmoidBackward0>)]
img_000214.png = [tensor([-0.0800], grad_fn=<SelectBackward0>), tensor([0.0144], grad_fn=<SigmoidBackward0>)]
img_000189.png = [tensor([0.0818], grad_fn=<SelectBackward0>), tensor([0.6588], grad_fn=<SigmoidBackward0>)]
img_000184.png = [tensor([-0.2361], grad_fn=<SelectBackward0>), tensor([0.9215], grad_fn=<SigmoidBackward0>)]
img_000072.png = [tensor([-0.4337], grad_fn=<SelectBackward0>), tensor([0.8042], grad_fn=<SigmoidBackward0>)]
img_000071.png = [tensor([-0.6567], grad_fn=<SelectBackward0>), tensor([0.9263], grad_fn=<SigmoidBackward0>)]
img_000141.png = [tensor([-0.9182], grad_fn=<SelectBackward0>), tensor([0.0201], grad_fn=<SigmoidBackward0>)]
img_000147.png = [tensor([0.4800], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000015.png = [tensor([-0.0757], grad_fn=<SelectBackward0>), tensor([0.0013], grad_fn=<SigmoidBackward0>)]
img_000201.png = [tensor([-0.2245], grad_fn=<SelectBackward0>), tensor([0.0741], grad_fn=<SigmoidBackward0>)]
img_000188.png = [tensor([-0.0159], grad_fn=<SelectBackward0>), tensor([0.0305], grad_fn=<SigmoidBackward0>)]
img_000176.png = [tensor([-0.2542], grad_fn=<SelectBackward0>), tensor([0.8631], grad_fn=<SigmoidBackward0>)]
img_000223.png = [tensor([-0.0020], grad_fn=<SelectBackward0>), tensor([0.9880], grad_fn=<SigmoidBackward0>)]
img_000195.png = [tensor([0.5367], grad_fn=<SelectBackward0>), tensor([4.8999e-05], grad_fn=<SigmoidBackward0>)]
img_000030.png = [tensor([-0.5637], grad_fn=<SelectBackward0>), tensor([0.3747], grad_fn=<SigmoidBackward0>)]
img_000052.png = [tensor([-0.3004], grad_fn=<SelectBackward0>), tensor([0.6919], grad_fn=<SigmoidBackward0>)]
img_000240.png = [tensor([-0.1544], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000198.png = [tensor([-0.5033], grad_fn=<SelectBackward0>), tensor([0.0053], grad_fn=<SigmoidBackward0>)]
img_000065.png = [tensor([-0.3887], grad_fn=<SelectBackward0>), tensor([0.7966], grad_fn=<SigmoidBackward0>)]
img_000032.png = [tensor([-0.0549], grad_fn=<SelectBackward0>), tensor([0.9416], grad_fn=<SigmoidBackward0>)]
img_000152.png = [tensor([0.2604], grad_fn=<SelectBackward0>), tensor([0.9999], grad_fn=<SigmoidBackward0>)]
img_000154.png = [tensor([0.2734], grad_fn=<SelectBackward0>), tensor([0.9996], grad_fn=<SigmoidBackward0>)]
img_000010.png = [tensor([-0.0549], grad_fn=<SelectBackward0>), tensor([0.0005], grad_fn=<SigmoidBackward0>)]
img_000033.png = [tensor([-0.1857], grad_fn=<SelectBackward0>), tensor([0.9940], grad_fn=<SigmoidBackward0>)]
img_000107.png = [tensor([-0.1369], grad_fn=<SelectBackward0>), tensor([0.9999], grad_fn=<SigmoidBackward0>)]
img_000090.png = [tensor([-0.2676], grad_fn=<SelectBackward0>), tensor([0.9861], grad_fn=<SigmoidBackward0>)]
img_000243.png = [tensor([-0.5995], grad_fn=<SelectBackward0>), tensor([0.9994], grad_fn=<SigmoidBackward0>)]
img_000160.png = [tensor([-0.1822], grad_fn=<SelectBackward0>), tensor([0.3719], grad_fn=<SigmoidBackward0>)]
img_000055.png = [tensor([0.0669], grad_fn=<SelectBackward0>), tensor([0.6163], grad_fn=<SigmoidBackward0>)]
img_000155.png = [tensor([0.2949], grad_fn=<SelectBackward0>), tensor([0.0643], grad_fn=<SigmoidBackward0>)]
img_000113.png = [tensor([-0.2617], grad_fn=<SelectBackward0>), tensor([0.9998], grad_fn=<SigmoidBackward0>)]
img_000099.png = [tensor([0.1291], grad_fn=<SelectBackward0>), tensor([0.9999], grad_fn=<SigmoidBackward0>)]
img_000046.png = [tensor([0.3604], grad_fn=<SelectBackward0>), tensor([0.8856], grad_fn=<SigmoidBackward0>)]
img_000105.png = [tensor([0.0514], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000084.png = [tensor([-0.1704], grad_fn=<SelectBackward0>), tensor([0.9167], grad_fn=<SigmoidBackward0>)]
img_000233.png = [tensor([0.7159], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000143.png = [tensor([-1.3526], grad_fn=<SelectBackward0>), tensor([0.9970], grad_fn=<SigmoidBackward0>)]
img_000121.png = [tensor([0.0927], grad_fn=<SelectBackward0>), tensor([0.9756], grad_fn=<SigmoidBackward0>)]
img_000047.png = [tensor([0.1878], grad_fn=<SelectBackward0>), tensor([0.9879], grad_fn=<SigmoidBackward0>)]
img_000164.png = [tensor([-0.3875], grad_fn=<SelectBackward0>), tensor([0.0002], grad_fn=<SigmoidBackward0>)]
img_000018.png = [tensor([-0.0348], grad_fn=<SelectBackward0>), tensor([0.0012], grad_fn=<SigmoidBackward0>)]
img_000068.png = [tensor([-0.7220], grad_fn=<SelectBackward0>), tensor([0.9216], grad_fn=<SigmoidBackward0>)]
img_000079.png = [tensor([-0.1396], grad_fn=<SelectBackward0>), tensor([0.8910], grad_fn=<SigmoidBackward0>)]
img_000226.png = [tensor([0.6501], grad_fn=<SelectBackward0>), tensor([0.9993], grad_fn=<SigmoidBackward0>)]
img_000190.png = [tensor([0.0039], grad_fn=<SelectBackward0>), tensor([0.0016], grad_fn=<SigmoidBackward0>)]
img_000042.png = [tensor([0.2209], grad_fn=<SelectBackward0>), tensor([0.9354], grad_fn=<SigmoidBackward0>)]
img_000069.png = [tensor([-0.6230], grad_fn=<SelectBackward0>), tensor([0.9607], grad_fn=<SigmoidBackward0>)]
img_000098.png = [tensor([0.0593], grad_fn=<SelectBackward0>), tensor([0.9998], grad_fn=<SigmoidBackward0>)]
img_000108.png = [tensor([-0.1454], grad_fn=<SelectBackward0>), tensor([0.9998], grad_fn=<SigmoidBackward0>)]
img_000247.png = [tensor([0.0787], grad_fn=<SelectBackward0>), tensor([0.0131], grad_fn=<SigmoidBackward0>)]
img_000180.png = [tensor([-0.6652], grad_fn=<SelectBackward0>), tensor([0.0002], grad_fn=<SigmoidBackward0>)]
img_000120.png = [tensor([0.1207], grad_fn=<SelectBackward0>), tensor([0.9711], grad_fn=<SigmoidBackward0>)]
img_000117.png = [tensor([0.2316], grad_fn=<SelectBackward0>), tensor([0.9967], grad_fn=<SigmoidBackward0>)]
img_000085.png = [tensor([-0.1228], grad_fn=<SelectBackward0>), tensor([0.0542], grad_fn=<SigmoidBackward0>)]
img_000016.png = [tensor([-0.0535], grad_fn=<SelectBackward0>), tensor([0.0009], grad_fn=<SigmoidBackward0>)]
img_000027.png = [tensor([0.6908], grad_fn=<SelectBackward0>), tensor([0.8758], grad_fn=<SigmoidBackward0>)]
img_000244.png = [tensor([-0.3028], grad_fn=<SelectBackward0>), tensor([0.9995], grad_fn=<SigmoidBackward0>)]
img_000021.png = [tensor([0.1278], grad_fn=<SelectBackward0>), tensor([0.0025], grad_fn=<SigmoidBackward0>)]
img_000124.png = [tensor([0.0363], grad_fn=<SelectBackward0>), tensor([0.9382], grad_fn=<SigmoidBackward0>)]
img_000149.png = [tensor([-0.1458], grad_fn=<SelectBackward0>), tensor([0.9850], grad_fn=<SigmoidBackward0>)]
img_000239.png = [tensor([-0.4865], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000025.png = [tensor([0.4925], grad_fn=<SelectBackward0>), tensor([0.0922], grad_fn=<SigmoidBackward0>)]
img_000182.png = [tensor([-0.5313], grad_fn=<SelectBackward0>), tensor([0.1915], grad_fn=<SigmoidBackward0>)]
img_000102.png = [tensor([0.1412], grad_fn=<SelectBackward0>), tensor([0.9999], grad_fn=<SigmoidBackward0>)]
img_000175.png = [tensor([-0.0148], grad_fn=<SelectBackward0>), tensor([0.9995], grad_fn=<SigmoidBackward0>)]
img_000167.png = [tensor([-0.6410], grad_fn=<SelectBackward0>), tensor([0.8651], grad_fn=<SigmoidBackward0>)]
img_000060.png = [tensor([-0.3016], grad_fn=<SelectBackward0>), tensor([0.8756], grad_fn=<SigmoidBackward0>)]
img_000206.png = [tensor([-0.3068], grad_fn=<SelectBackward0>), tensor([0.0094], grad_fn=<SigmoidBackward0>)]
img_000100.png = [tensor([-0.1245], grad_fn=<SelectBackward0>), tensor([0.9996], grad_fn=<SigmoidBackward0>)]
img_000119.png = [tensor([0.1048], grad_fn=<SelectBackward0>), tensor([0.9975], grad_fn=<SigmoidBackward0>)]
img_000151.png = [tensor([-0.1860], grad_fn=<SelectBackward0>), tensor([0.9998], grad_fn=<SigmoidBackward0>)]
img_000059.png = [tensor([0.2440], grad_fn=<SelectBackward0>), tensor([0.9085], grad_fn=<SigmoidBackward0>)]
img_000127.png = [tensor([0.1943], grad_fn=<SelectBackward0>), tensor([0.9913], grad_fn=<SigmoidBackward0>)]
img_000232.png = [tensor([0.8147], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000087.png = [tensor([-0.2433], grad_fn=<SelectBackward0>), tensor([0.2029], grad_fn=<SigmoidBackward0>)]
img_000104.png = [tensor([0.0772], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000044.png = [tensor([-0.5455], grad_fn=<SelectBackward0>), tensor([0.0444], grad_fn=<SigmoidBackward0>)]
img_000064.png = [tensor([-0.0767], grad_fn=<SelectBackward0>), tensor([0.1927], grad_fn=<SigmoidBackward0>)]
img_000186.png = [tensor([-0.2571], grad_fn=<SelectBackward0>), tensor([0.0023], grad_fn=<SigmoidBackward0>)]
img_000096.png = [tensor([-0.0436], grad_fn=<SelectBackward0>), tensor([0.9999], grad_fn=<SigmoidBackward0>)]
img_000148.png = [tensor([0.8050], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000037.png = [tensor([-0.5424], grad_fn=<SelectBackward0>), tensor([0.7461], grad_fn=<SigmoidBackward0>)]
img_000221.png = [tensor([0.3414], grad_fn=<SelectBackward0>), tensor([0.9904], grad_fn=<SigmoidBackward0>)]
img_000074.png = [tensor([-0.2684], grad_fn=<SelectBackward0>), tensor([0.8601], grad_fn=<SigmoidBackward0>)]
img_000095.png = [tensor([-0.2006], grad_fn=<SelectBackward0>), tensor([0.2603], grad_fn=<SigmoidBackward0>)]
img_000215.png = [tensor([-0.0740], grad_fn=<SelectBackward0>), tensor([0.0150], grad_fn=<SigmoidBackward0>)]
img_000097.png = [tensor([-0.0946], grad_fn=<SelectBackward0>), tensor([0.9999], grad_fn=<SigmoidBackward0>)]
img_000057.png = [tensor([-0.2711], grad_fn=<SelectBackward0>), tensor([0.9378], grad_fn=<SigmoidBackward0>)]
img_000081.png = [tensor([-0.1805], grad_fn=<SelectBackward0>), tensor([0.9652], grad_fn=<SigmoidBackward0>)]
img_000045.png = [tensor([0.1092], grad_fn=<SelectBackward0>), tensor([0.5001], grad_fn=<SigmoidBackward0>)]
img_000028.png = [tensor([1.0251], grad_fn=<SelectBackward0>), tensor([0.9984], grad_fn=<SigmoidBackward0>)]
img_000185.png = [tensor([0.2229], grad_fn=<SelectBackward0>), tensor([0.0053], grad_fn=<SigmoidBackward0>)]
img_000219.png = [tensor([-0.2077], grad_fn=<SelectBackward0>), tensor([0.9998], grad_fn=<SigmoidBackward0>)]
img_000170.png = [tensor([0.3222], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000034.png = [tensor([-0.4563], grad_fn=<SelectBackward0>), tensor([0.7620], grad_fn=<SigmoidBackward0>)]
img_000204.png = [tensor([-0.5275], grad_fn=<SelectBackward0>), tensor([0.0177], grad_fn=<SigmoidBackward0>)]
img_000103.png = [tensor([-0.0910], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000067.png = [tensor([-0.5582], grad_fn=<SelectBackward0>), tensor([0.8046], grad_fn=<SigmoidBackward0>)]
img_000166.png = [tensor([-0.5378], grad_fn=<SelectBackward0>), tensor([0.6242], grad_fn=<SigmoidBackward0>)]
img_000183.png = [tensor([-0.3426], grad_fn=<SelectBackward0>), tensor([0.3879], grad_fn=<SigmoidBackward0>)]
img_000112.png = [tensor([0.0065], grad_fn=<SelectBackward0>), tensor([0.9989], grad_fn=<SigmoidBackward0>)]
img_000203.png = [tensor([-0.5183], grad_fn=<SelectBackward0>), tensor([0.0268], grad_fn=<SigmoidBackward0>)]
img_000076.png = [tensor([-0.7841], grad_fn=<SelectBackward0>), tensor([0.9945], grad_fn=<SigmoidBackward0>)]
img_000197.png = [tensor([-0.6365], grad_fn=<SelectBackward0>), tensor([0.1404], grad_fn=<SigmoidBackward0>)]
img_000208.png = [tensor([-0.1398], grad_fn=<SelectBackward0>), tensor([0.0241], grad_fn=<SigmoidBackward0>)]
img_000135.png = [tensor([-0.1823], grad_fn=<SelectBackward0>), tensor([0.7108], grad_fn=<SigmoidBackward0>)]
img_000019.png = [tensor([-0.0275], grad_fn=<SelectBackward0>), tensor([0.0012], grad_fn=<SigmoidBackward0>)]
img_000156.png = [tensor([0.1033], grad_fn=<SelectBackward0>), tensor([0.2897], grad_fn=<SigmoidBackward0>)]
img_000122.png = [tensor([0.0827], grad_fn=<SelectBackward0>), tensor([0.9879], grad_fn=<SigmoidBackward0>)]
img_000210.png = [tensor([-0.1121], grad_fn=<SelectBackward0>), tensor([0.0150], grad_fn=<SigmoidBackward0>)]
img_000246.png = [tensor([0.0688], grad_fn=<SelectBackward0>), tensor([0.9967], grad_fn=<SigmoidBackward0>)]
img_000017.png = [tensor([-0.0643], grad_fn=<SelectBackward0>), tensor([0.0012], grad_fn=<SigmoidBackward0>)]
img_000249.png = [tensor([-0.0166], grad_fn=<SelectBackward0>), tensor([0.0006], grad_fn=<SigmoidBackward0>)]
img_000115.png = [tensor([0.2586], grad_fn=<SelectBackward0>), tensor([0.9801], grad_fn=<SigmoidBackward0>)]
img_000242.png = [tensor([0.4880], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000080.png = [tensor([-0.3663], grad_fn=<SelectBackward0>), tensor([0.8636], grad_fn=<SigmoidBackward0>)]
img_000131.png = [tensor([-0.1977], grad_fn=<SelectBackward0>), tensor([0.0130], grad_fn=<SigmoidBackward0>)]
img_000116.png = [tensor([0.3695], grad_fn=<SelectBackward0>), tensor([0.9947], grad_fn=<SigmoidBackward0>)]
img_000248.png = [tensor([-0.2121], grad_fn=<SelectBackward0>), tensor([0.0093], grad_fn=<SigmoidBackward0>)]
img_000051.png = [tensor([0.1117], grad_fn=<SelectBackward0>), tensor([0.1761], grad_fn=<SigmoidBackward0>)]
img_000009.png = [tensor([-0.0478], grad_fn=<SelectBackward0>), tensor([0.0017], grad_fn=<SigmoidBackward0>)]
img_000228.png = [tensor([-0.0163], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000227.png = [tensor([0.5944], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000153.png = [tensor([0.2345], grad_fn=<SelectBackward0>), tensor([0.9999], grad_fn=<SigmoidBackward0>)]
img_000083.png = [tensor([-0.3058], grad_fn=<SelectBackward0>), tensor([0.9849], grad_fn=<SigmoidBackward0>)]
img_000220.png = [tensor([-0.0637], grad_fn=<SelectBackward0>), tensor([0.9448], grad_fn=<SigmoidBackward0>)]
img_000022.png = [tensor([-0.1749], grad_fn=<SelectBackward0>), tensor([0.0003], grad_fn=<SigmoidBackward0>)]
img_000111.png = [tensor([-0.0418], grad_fn=<SelectBackward0>), tensor([0.9925], grad_fn=<SigmoidBackward0>)]
img_000234.png = [tensor([1.1190], grad_fn=<SelectBackward0>), tensor([1.], grad_fn=<SigmoidBackward0>)]
img_000093.png = [tensor([-0.0449], grad_fn=<SelectBackward0>), tensor([0.0361], grad_fn=<SigmoidBackward0>)]
img_000144.png = [tensor([-0.6724], grad_fn=<SelectBackward0>), tensor([0.9996], grad_fn=<SigmoidBackward0>)]
img_000216.png = [tensor([-0.0723], grad_fn=<SelectBackward0>), tensor([0.9377], grad_fn=<SigmoidBackward0>)]
img_000094.png = [tensor([-0.3647], grad_fn=<SelectBackward0>), tensor([0.4946], grad_fn=<SigmoidBackward0>)]
img_000118.png = [tensor([0.2878], grad_fn=<SelectBackward0>), tensor([0.9970], grad_fn=<SigmoidBackward0>)]
img_000008.png = [tensor([0.0094], grad_fn=<SelectBackward0>), tensor([0.0030], grad_fn=<SigmoidBackward0>)]
img_000132.png = [tensor([-0.1814], grad_fn=<SelectBackward0>), tensor([0.5495], grad_fn=<SigmoidBackward0>)]
img_000217.png = [tensor([0.0684], grad_fn=<SelectBackward0>), tensor([0.6510], grad_fn=<SigmoidBackward0>)]
img_000031.png = [tensor([-0.2914], grad_fn=<SelectBackward0>), tensor([0.8993], grad_fn=<SigmoidBackward0>)]
img_000003.png = [tensor([-0.2993], grad_fn=<SelectBackward0>), tensor([0.0003], grad_fn=<SigmoidBackward0>)]
img_000129.png = [tensor([-0.1674], grad_fn=<SelectBackward0>), tensor([0.8287], grad_fn=<SigmoidBackward0>)]
img_000196.png = [tensor([0.6239], grad_fn=<SelectBackward0>), tensor([0.0015], grad_fn=<SigmoidBackward0>)]
img_000001.png = [tensor([-0.2665], grad_fn=<SelectBackward0>), tensor([0.0004], grad_fn=<SigmoidBackward0>)]
img_000230.png = [tensor([0.9383], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000075.png = [tensor([-0.3652], grad_fn=<SelectBackward0>), tensor([0.9430], grad_fn=<SigmoidBackward0>)]
img_000011.png = [tensor([-0.0427], grad_fn=<SelectBackward0>), tensor([0.0011], grad_fn=<SigmoidBackward0>)]
img_000114.png = [tensor([-0.3050], grad_fn=<SelectBackward0>), tensor([0.9996], grad_fn=<SigmoidBackward0>)]
img_000209.png = [tensor([-0.1037], grad_fn=<SelectBackward0>), tensor([0.0165], grad_fn=<SigmoidBackward0>)]
img_000194.png = [tensor([0.8220], grad_fn=<SelectBackward0>), tensor([0.0002], grad_fn=<SigmoidBackward0>)]
img_000013.png = [tensor([-0.0882], grad_fn=<SelectBackward0>), tensor([0.0010], grad_fn=<SigmoidBackward0>)]
img_000202.png = [tensor([-0.2248], grad_fn=<SelectBackward0>), tensor([0.0235], grad_fn=<SigmoidBackward0>)]
img_000066.png = [tensor([-0.4599], grad_fn=<SelectBackward0>), tensor([0.7670], grad_fn=<SigmoidBackward0>)]
img_000002.png = [tensor([-0.2975], grad_fn=<SelectBackward0>), tensor([0.0004], grad_fn=<SigmoidBackward0>)]
img_000136.png = [tensor([-0.0989], grad_fn=<SelectBackward0>), tensor([0.6767], grad_fn=<SigmoidBackward0>)]
img_000036.png = [tensor([-0.2889], grad_fn=<SelectBackward0>), tensor([0.9924], grad_fn=<SigmoidBackward0>)]
img_000073.png = [tensor([-0.3266], grad_fn=<SelectBackward0>), tensor([0.9539], grad_fn=<SigmoidBackward0>)]
img_000191.png = [tensor([0.1407], grad_fn=<SelectBackward0>), tensor([0.0004], grad_fn=<SigmoidBackward0>)]
img_000077.png = [tensor([-0.8200], grad_fn=<SelectBackward0>), tensor([0.9820], grad_fn=<SigmoidBackward0>)]
img_000169.png = [tensor([-0.3906], grad_fn=<SelectBackward0>), tensor([0.9998], grad_fn=<SigmoidBackward0>)]
img_000171.png = [tensor([0.1488], grad_fn=<SelectBackward0>), tensor([0.9997], grad_fn=<SigmoidBackward0>)]
img_000237.png = [tensor([0.0861], grad_fn=<SelectBackward0>), tensor([0.9998], grad_fn=<SigmoidBackward0>)]
img_000128.png = [tensor([0.5905], grad_fn=<SelectBackward0>), tensor([0.9998], grad_fn=<SigmoidBackward0>)]
img_000218.png = [tensor([-0.1543], grad_fn=<SelectBackward0>), tensor([0.9779], grad_fn=<SigmoidBackward0>)]
